Date,Value
2/2/2022,16826.7172
1/2/2022,16991.582
31/01/2022,16971.9232
28/01/2022,16691.5732
27/01/2022,16319.4625
26/01/2022,16098.666
25/01/2022,15899.3678
24/01/2022,15896.608
21/01/2022,16157.5362
20/01/2022,16102.8567
19/01/2022,16147.825
18/01/2022,16099.4896
17/01/2022,16299.6304
14/01/2022,16291.0114
13/01/2022,16479.1913
12/1/2022,16287.5181
11/1/2022,16368.6672
10/1/2022,16538.0041
7/1/2022,16455.2984
6/1/2022,16325.5207
5/1/2022,16041.2216
4/1/2022,15918.7421
3/1/2022,15649.7565
31/12/2021,15316.9238
30/12/2021,15405.7859
29/12/2021,15177.3143
28/12/2021,15092.3047
24/12/2021,14924.2721
23/12/2021,14931.9554
22/12/2021,14769.2435
21/12/2021,14796.5945
20/12/2021,14385.4878
17/12/2021,14898.2592
15/12/2021,14681.8533
14/12/2021,14620.7413
13/12/2021,14615.1448
10/12/2021,14887.8932
9/12/2021,15161.4889
8/12/2021,15094.9564
7/12/2021,14895.124
6/12/2021,14955.7575
3/12/2021,14541.7018
2/12/2021,13935.0444
1/12/2021,13744.8942
30/11/2021,13335.4386
29/11/2021,13094.9481
26/11/2021,12569.3894
25/11/2021,13554.4396
24/11/2021,13500.5565
23/11/2021,13743.0126
22/11/2021,13700.4904
19/11/2021,13582.3473
18/11/2021,13953.966
17/11/2021,13930.6558
16/11/2021,13881.8985
15/11/2021,13831.1836
12/11/2021,13643.5781
11/11/2021,13892.9654
10/11/2021,14027.311
9/11/2021,14132.5816
8/11/2021,14059.1903
5/11/2021,14127.7039
4/11/2021,14475.4425
3/11/2021,14282.6083
2/11/2021,14350.1566
29/10/2021,13987.4549
28/10/2021,14106.5853
27/10/2021,14272.8229
26/10/2021,14419.4294
25/10/2021,14349.8791
22/10/2021,14182.9968
21/10/2021,14222.173
20/10/2021,14364.8129
19/10/2021,14360.2606
18/10/2021,14499.4954
15/10/2021,14373.0771
14/10/2021,14439.3138
13/10/2021,14544.018
12/10/2021,14437.509
11/10/2021,14342.842
8/10/2021,14497.2253
7/10/2021,14741.1709
6/10/2021,14947.1008
5/10/2021,15055.0579
4/10/2021,15128.9021
1/10/2021,15381.2276
30/09/2021,15212.6374
29/09/2021,14998.0843
28/09/2021,14652.5788
27/09/2021,14143.6596
23/09/2021,14373.6938
22/09/2021,14327.3464
21/09/2021,14023.0673
20/09/2021,13922.1597
17/09/2021,14347.1186
16/09/2021,14808.1521
15/09/2021,15073.8973
14/09/2021,15206.5639
13/09/2021,15075.8952
10/9/2021,15008.4996
9/9/2021,14953.7666
8/9/2021,15147.6349
7/9/2021,15082.1697
6/9/2021,15154.0745
3/9/2021,15130.2795
2/9/2021,15323.6378
1/9/2021,15340.489
31/08/2021,15767.4893
30/08/2021,15493.6472
27/08/2021,15731.2079
26/08/2021,15667.7042
25/08/2021,15547.4001
24/08/2021,15360.1368
23/08/2021,15203.0097
20/08/2021,14926.1659
19/08/2021,15115.5122
18/08/2021,15361.4148
17/08/2021,14997.9971
16/08/2021,14828.2093
13/08/2021,14673.0156
12/8/2021,14674.5934
11/8/2021,14655.5575
10/8/2021,14765.6904
