StockID,Actual_Slope,Predicted_Slope,Actual_Duration,Predicted_Duration
OUT,5.620013,413.99585,30.0,33.937206
ANG,-24.386856,842.103,50.000004,60.335335
BTI,20.331345,511.39948,120.0,80.157684
S32,-3.9314532,863.56006,70.0,60.477837
MNP,-740.7307,420.35635,10.0,40.472702
ABG,1.1571629,498.45834,135.0,80.06963
REM,-166.63358,485.8792,5.0,44.45478
PRX,-27.99768,442.22464,104.99999,187.75305
TBS,4.465813,437.51965,160.0,85.42689
SHC,-0.3074816,350.32346,504.99994,30.84589
ABG,39.87683,458.86438,10.0,93.05965
OUT,-42.146015,402.0136,15.0,33.35546
FSR,3.9655821,376.8619,35.000004,32.13436
VOD,-0.55982375,484.06265,110.0,87.72679
REM,4.482141,502.49826,85.0,79.99112
AGL,-49.888676,236.57602,45.0,56.05956
MNP,-13.010468,339.0585,89.99999,37.222523
MTN,2.4930916,657.18176,150.0,98.56665
IMP,-22.364939,331.18628,40.0,36.840324
BTI,56.670517,492.29483,35.000004,82.985405
DSY,39.43682,476.3852,15.0,96.58758
NPN,-1820.9589,-336.53043,15.0,29.202753
SSW,-2.092537,301.721,65.0,40.74992
BVT,52.823677,377.52774,15.0,32.166676
FSR,10.964577,915.7701,15.0,57.737576
REM,122.40352,756.6348,5.0,65.94201
CLS,-264.74588,298.32648,5.0,40.73138
MTN,13.955996,814.0765,70.0,64.12492
NED,47.0654,485.0626,35.000004,81.30115
SLM,0.12489279,918.4436,355.0,57.75518
NED,12.558148,378.32568,15.0,32.205414
CPI,-24.018309,924.3803,60.0,44.14865
OUT,566.0933,393.4273,5.0,32.938602
AMS,-384.18597,-865.9374,40.0,18.277075
OUT,-74.351654,324.6467,10.0,40.875053
CLS,73.41331,353.44223,15.0,37.92086
MRP,267.43512,474.35034,15.0,36.29292
S32,-0.059380554,447.5039,110.0,80.0408
S32,-3.7618115,688.23627,35.000004,81.268936
KIO,283.97424,3261.883,5.0,30.208052
TBS,25.19031,597.23267,74.99999,47.762234
TBS,-3.4986548,717.7736,110.0,93.46563
SBK,-31.311632,720.3566,40.0,51.13395
ANG,14.373102,352.41577,30.0,37.87102
RNI,12.852477,476.54425,104.99999,146.88196
CFR,-3645.2864,518.0828,10.0,39.231274
SHC,68.96297,399.58255,15.0,33.23744
NRP,-97.50606,457.99796,15.0,44.30259
NPN,7945.3374,356.72925,5.0,38.478214
TBS,-12.982689,688.93933,55.0,37.464237
BVT,-38.03687,518.16364,25.0,82.28676
FSR,-37.075848,384.41583,15.0,32.501114
ABG,0.6344542,467.96207,100.0,86.63172
HAR,-10.376355,277.64185,65.0,80.571556
GLN,-5.189771,409.62714,60.0,115.932205
HAR,-0.605627,795.16284,89.99999,80.80033
HAR,-268.96594,373.15204,10.0,41.139816
DSY,-492.53998,362.52505,5.0,41.081806
