StockID,Actual_Price,Predicted_Price
BTI.JO,68250.62459630286,68618.78431684559
AMS.JO,72698.85764733153,71911.85920261078
INL.JO,5250.979113621637,5214.320558002801
EXX.JO,12738.639768697321,12817.805641703017
VOD.JO,15172.49781320151,15096.935423165094
GLN.JO,1906.7824848329328,1926.9910812197195
NPN.JO,227505.09590064222,219426.7775987722
RLO.JO,7316.213957154265,7320.836755959317
EXX.JO,13315.012594132422,13229.409639732039
BID.JO,28324.124749360606,28157.149208530784
BVT.JO,21116.293319528053,20849.691990030584
NPN.JO,232970.42134491028,211538.07715313416
VOD.JO,14727.91298176418,14711.602209444623
MNP.JO,36855.472602971364,36803.76598315174
EXX.JO,16304.857701468862,16513.347292146933
IMP.JO,13104.107837946598,12477.348869065303
IMP.JO,20224.915446245242,18171.38345616155
SLM.JO,6020.776915288181,6183.3736910253065
ABG.JO,16984.648480061907,17027.88225682918
SOL.JO,31631.33523765116,30401.154378548585
APN.JO,25476.839570081793,25637.07532424503
EXX.JO,21091.835981071632,21307.88774953078
IMP.JO,7274.000064741235,7240.412848988909
ABG.JO,14367.700330972672,14143.514401695691
NPN.JO,216930.8199087251,213654.92765252106
GFI.JO,4678.313917646969,4749.246682674699
MRP.JO,12712.279259722469,12576.338825984814
NRP.JO,9596.47187544187,9482.517863731859
MTN.JO,8500.475473918468,8396.258025330248
MRP.JO,14171.289171684737,14373.334608098696
KIO.JO,28846.598459360193,27207.291260550326
CPI.JO,48787.01506998495,46517.15075853199
FSR.JO,4921.093735412738,4903.979332918141
NPN.JO,328804.27871548897,320151.94990754686
EXX.JO,12821.094448952208,12755.412269889785
BID.JO,23024.15421607904,23205.075142482296
HAR.JO,2137.631546950144,2161.731449411547
ABG.JO,15794.495041040238,15830.632654963993
SOL.JO,44832.15234384168,43745.31366029801
PPH.JO,2393.0000131513298,2301.1841100395395
INL.JO,11066.053774376749,10983.19889601064
CFR.JO,266144.99939117394,270605.88848907454
MRP.JO,15176.172983840457,15115.070533312042
RLO.JO,6355.984444569971,6313.499896540394
BTI.JO,80681.49136623298,79894.19723402476
OMU.JO,1562.2595303069684,1560.823339104667
SBK.JO,14894.818444975886,14463.933720592004
IMP.JO,19139.632107513768,20133.00621488085
NRP.JO,10649.083971881568,10382.79978568878
APN.JO,11937.355460358842,11782.219967922836
CPI.JO,197090.90165514944,191689.86625791158
SHP.JO,16648.201124636602,16984.840397560532
ANH.JO,126975.26415918046,129514.46286603482
INP.JO,4450.911582117667,4465.37704464345
INP.JO,11131.478657574624,11583.68055411137
AGL.JO,74653.58617367229,74420.85647093249
AMS.JO,75867.60222964802,74878.8145623229
INP.JO,5999.813450607733,5936.801762977906
SSW.JO,2034.000005773078,1963.5858414695085
RLO.JO,4428.335482931867,4458.965622134274
SBK.JO,16209.977678105935,16026.213696237888
KIO.JO,19937.63275038745,20007.99943050652
BID.JO,32639.965246491134,32822.874181598425
INL.JO,5275.545398691902,5300.969017101801
VOD.JO,13668.372032614308,14356.377640367486
AMS.JO,35834.15949809941,34481.32595143712
AMS.JO,141787.03600836918,142723.3415115215
GRT.JO,2189.9414378357983,2170.5368554996753
HAR.JO,17067.54641890525,16634.160627577796
BTI.JO,56915.886903625564,56580.88792917528
MTN.JO,21504.387308538004,21413.875503539253
OMU.JO,1248.3032246998628,1246.1731471266721
NPN.JO,137415.5767776959,136744.6367337457
DSY.JO,12209.061536736526,11926.812752394371
APN.JO,31216.169829951832,31250.36284867907
MTN.JO,5815.484038449492,5593.919152489903
INL.JO,5198.736390500097,5076.620204898412
BTI.JO,57570.562334377086,57873.24398924899
CLS.JO,15816.052994243859,15931.432636648096
BVT.JO,29110.060269588375,29153.688246901034
SOL.JO,61640.22966045886,61289.08799023961
SHP.JO,19414.056836490694,19444.813911699923
EXX.JO,15965.807036560434,16312.784101139985
BID.JO,31776.673983555287,31808.981652982533
CPI.JO,111137.4128645903,108256.35553022567
BTI.JO,91083.64702006476,88413.94470416196
REM.JO,13988.025041771645,13549.414163184905
GFI.JO,18485.590117082058,17458.616783488455
GRT.JO,2595.836441789878,2586.787185943817
AMS.JO,83413.49386425245,82237.40048664015
APN.JO,20287.538727022707,21371.405664214748
REM.JO,12452.379050729389,12072.844453009282
NPN.JO,104264.31329551374,105074.10508320818
MRP.JO,21168.24949824106,20471.40812031145
DSY.JO,14012.2323545969,13639.150887445257
INP.JO,4710.184469372325,4636.361664441967
MRP.JO,13076.627799033697,12962.334427517431
REM.JO,13859.113944231009,13628.67350541352
IMP.JO,2400.6076606479305,2525.035734585689
KIO.JO,46559.81971561473,46097.53175537976
REM.JO,15409.150238701026,15327.797226729104
KIO.JO,38316.53257453128,39593.5564261973
MRP.JO,19932.649922124638,19914.365323254726
AMS.JO,46637.51956874924,46924.26824823057
SLM.JO,7659.4815816930495,7536.516968310811
MRP.JO,23705.898409380057,23531.353576805213
HAR.JO,2207.7041457385685,2140.017724911033
ABG.JO,15878.118166275322,15608.845620593056
GFI.JO,25527.005160642468,24987.01232815464
AGL.JO,11727.172640786754,11230.493728022171
IMP.JO,4613.714800965644,4519.164264099579
FSR.JO,4065.8515448918115,4056.1493650567936
RLO.JO,6628.631867536489,6602.199909536692
EXX.JO,7578.721973053398,7714.611247650173
EXX.JO,18591.760381907512,18198.387435744804
MRP.JO,23291.115170347333,22922.955464145987
RLO.JO,5717.5239234958935,5649.3119658427095
MTN.JO,8394.06069213842,8510.482090988218
MNP.JO,42231.19894647808,41211.3707999296
CPI.JO,184454.5956534278,180695.93743837698
ABG.JO,16414.5855216044,16200.522485853173
GRT.JO,2412.6156635494267,2433.3148896270436
PPH.JO,2088.352749495749,2071.9057724996965
