StockID,Actual_Slope,Predicted_Slope,Actual_Duration,Predicted_Duration
SHC,-59.98236,-25.790854,15.0,149.844
BVT,-13.553534,54.87104,15.0,23.59252
HAR,-24.893448,-26.879318,25.0,79.93558
ANG,-184.73584,-83.015465,25.0,36.396996
BVT,-196.93774,33.995987,15.0,48.886833
CPI,159.87907,50.85668,45.0,58.848564
OUT,-0.039659698,296.31503,130.0,67.91311
CFR,-9873.162,-1534.0858,5.0,17.676016
FSR,-14.9783125,-4.024332,5.0,136.03394
BVT,3.1642368,54.87104,40.0,23.59252
ABG,-1.9799373,23.83275,55.0,39.423428
GLN,-1.3864031,38.464775,45.0,41.73296
HAR,135.10524,716.1566,5.0,21.48451
CLS,-78.89381,-64.12798,20.0,78.48025
GLN,22.37044,40.687294,15.0,33.579334
FSR,-0.031177608,24.37518,95.0,51.66243
RNI,-23.255981,54.87104,35.000004,23.59252
HAR,-0.41838488,31.073484,115.0,39.24206
NED,18.0679,75.08067,45.0,23.528097
HAR,-1.036941,41.000072,100.0,78.387146
AMS,-1706.011,55.689774,15.0,25.395866
ANH,88.65117,23.777828,45.0,44.320427
SSW,-0.08037372,-54.62783,85.0,39.291557
RNI,5.171311,-51.269135,135.0,81.616135
PRX,-44.329517,-31.0841,120.0,63.98846
GLN,-1.9682744,114.5754,85.0,125.3541
REM,-1.1031014,44.24362,205.0,31.025064
SLM,-0.52419895,12.784196,210.0,69.1785
WHL,0.49174306,52.65255,160.0,111.391975
ANH,-3.8822572,-96.28973,230.00002,210.13208
MNP,91.63198,31.830935,20.0,54.11049
RNI,-245.5223,143.94994,10.0,39.414665
REM,-2.271933,76.38543,85.0,39.43598
DSY,-1.796088,39.50468,15.0,56.859596
CPI,1738.067,54.87104,15.0,23.59252
SBK,-5.670493,26.417454,55.0,31.787907
SSW,3.2325175,54.87104,50.000004,23.59252
CPI,-308.43753,1345.8394,15.0,17.969204
AGL,-421.13416,10.348352,10.0,23.20621
VOD,2.0409963,12.887678,70.0,84.62699
SBK,-3.544882,16.4281,89.99999,130.21313
SLM,52.581726,54.87104,15.0,23.59252
TBS,23.42243,54.87104,20.0,23.59252
ANG,3526.3455,160.9773,5.0,61.86616
PPH,-0.120663635,278.0795,55.0,71.346695
MTN,8.007721,52.334473,60.0,37.950245
SBK,5.760816,54.87104,135.0,23.59252
S32,4.696314,44.116604,65.0,29.647514
SBK,68.836586,-42.124596,15.0,22.750917
FSR,-39.53735,54.87104,20.0,23.59252
ABG,-14.34873,27.259937,50.000004,67.05566
HAR,-1.418635,35.095478,65.0,41.907196
